,Neighbour ID,Appliance ID,Market Iteration,Request Iteration,Request ID,Log Location,Queue Position,Request Fairness,Market Start Time,Market End Time,Earliest Start Time,Beginning of Latest Running Period,Request Power,Request Duration,Ever Tried Satisfy Request,Request Acceptance,Accepted Start Time,Accepted End Time,Request Cost,Neighbour Fairness,Neighbour Total Energy Desired,Neighbour Total Energy Delivered,Request Total Energy Desired,Request Total Energy Delivered,Request Type,Processed Time,Neighbour Fairness Series
37,98,54,1,1,98542021-12-17 19:30:00,queue,105,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:00:00,3.5,0 days 00:30:00,True,False,,,,0.09,5.5,0.5,1.75,0.0,basic,1717366054.282326,"[0, 0.0, 0.09]"
38,79,423,1,1,794232021-12-17 09:30:00,queue,30,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 09:30:00,2021-12-17 10:30:00,4.0,0 days 01:00:00,True,True,2021-12-17 10:00:00,2021-12-17 11:00:00,2693.24,0.79,86.5,68.5,4.0,4.0,premium,1717366054.284999,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
39,0,30,1,1,0302021-12-17 16:00:00,queue,18,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 16:00:00,2021-12-17 16:30:00,3.5,0 days 00:30:00,True,True,2021-12-17 16:30:00,2021-12-17 17:00:00,822.94,0.39,4.5,1.75,1.75,1.75,premium,1717366054.288053,"[0, 0.39]"
40,3,21,1,1,3212021-12-17 18:00:00,queue,12,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 18:00:00,2021-12-17 19:00:00,1.0,0 days 01:00:00,True,True,2021-12-17 18:00:00,2021-12-17 19:00:00,706.08,1.0,3.0,3.0,1.0,1.0,basic,1717366054.291018,"[1.0, 1.0]"
41,64,119,1,1,641192021-12-17 00:30:00,queue,118,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 00:30:00,2021-12-17 04:30:00,8.25,0 days 03:30:00,True,False,,,,0.02,61.75,1.5,28.875,0.0,basic,1717366054.294122,"[0, 0.0, 0.02, 0.02]"
42,29,78,1,1,29782021-12-17 17:00:00,queue,85,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 18:00:00,3.25,0 days 01:00:00,True,False,,,,0.8,16.5,13.25,3.25,0.0,premium,1717366054.29768,"[1.0, 1.0, 0.8]"
43,60,65,1,1,60652021-12-17 17:00:00,queue,41,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 17:00:00,2021-12-17 18:30:00,3.0,0 days 01:00:00,True,True,2021-12-17 17:00:00,2021-12-17 18:00:00,2307.42,0.46,12.0,5.5,3.0,3.0,premium,1717366054.3007,"[0, 0.32, 0.46]"
44,70,200,1,1,702002021-12-17 19:30:00,queue,89,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:00:00,2.25,0 days 00:30:00,True,False,,,,0.2,16.0,3.125,1.125,0.0,basic,1717366054.304399,"[0, 0.0, 0.09, 0.18, 0.14, 0.2]"
45,37,245,1,1,372452021-12-17 15:00:00,queue,11,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 16:00:00,3.5,0 days 01:00:00,True,True,2021-12-17 15:30:00,2021-12-17 16:30:00,2424.69,0.8,22.5,18.0,3.5,3.5,premium,1717366054.307182,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
46,74,181,1,1,741812021-12-17 21:00:00,queue,106,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 21:00:00,2021-12-17 21:30:00,5.5,0 days 00:30:00,True,True,2021-12-17 21:30:00,2021-12-17 22:00:00,1317.99,0.02,164.0,2.75,2.75,2.75,basic,1717366054.310199,"[0, 0.0, 0.02]"
